30
12,33,7,34
27,23,26,11
9,28,17,32
23,15,28,8
33,6,25,25
20,13,32,12
6,25,2,10
15,31,22,18
5,35,30,22
30,12,11,4
2,34,18,20
24,29,35,6
4,14,4,31
22,11,1,13
17,3,39,22
7,2,20,10
29,27,28,13
19,10,13,19
8,25,27,22
35,22,10,9
32,19,31,19
1,19,7,20
26,30,18,2
13,26,20,17
10,23,11,16
34,9,12,9
14,20,23,27
28,5,24,5
18,8,8,32
31,17,36,20
1,11,31,28,13
2,37,17,7,27
3,12,19,19,32
4,10,26,16,25
5,5,14,8,33
6,24,23,18,23
7,39,15,11,16
8,23,29,32,31
9,17,36,23,10
10,35,35,29,2
11,4,4,30,22
12,26,5,31,38
13,27,24,22,1
14,25,10,36,16
15,6,9,10,15
16,3,16,35,17
17,15,6,27,19
18,32,28,5,12
19,16,33,14,36
20,22,18,12,34
21,20,8,6,24
22,9,13,9,9
23,21,12,17,11
24,36,22,34,3
25,30,34,24,37
26,8,20,20,28
27,33,7,25,14
28,29,2,4,4
29,1,27,33,30
30,34,21,26,6
